sentence,class
查询一下列车的时刻表。,0
查询一下列车的余票情况。,0
我想订购火车票。,0
我想订购往返票。,0
我想订购儿童票。,0
我想订购老人票。,0
我要订购硬座票。,0
我要订购软卧票。,0
我要订购无障碍车厢的火车票。,0
我要订购学生票。,0
我要订购军人优待票。,0
我要订购团体票。,0
我要订购联程票。,0
我要订购往返票。,0
我要订购中转票。,0
我想选择靠窗的位置。,0
我想选择靠过道的位置。,0
我想选择一下座位类型。,0
我要订火车票。,0
帮我订张火车票吧。,0
请帮我订火车票。,0
我想订一张火车票。,0
麻烦帮我订个火车票。,0
订一张火车票给我。,0
我需要订火车票。,0
我得订张火车票。,0
我打算订火车票。,0
我准备订火车票。,0
可以帮我预订一张火车票吗？,0
你能帮我安排一张火车票吗？,0
能否为我预订一张火车票？,0
请问能否帮我购买一张火车票？,0
我要订从北京到上海的火车票。,0
我要订从广州到深圳的高铁票。,0
我要订明天早上8点的火车票。,0
我要订后天晚上的动车票。,0
我要订周五下午的火车票。,0
我要订周日早上的高铁票。,0
我要订下周三的火车票。,0
我要订一个月后的火车票。,0
我要买火车票。,0
我要买高铁票。,0
我要买明天的火车票。,0
我要买明天的高铁票。,0
我要买x月x日的火车票。,0
我要买x月x日的高铁票。,0
我要买靠窗的位子。,0
我要买靠过道的位子。,0
去xx的火车有票吗？,0
去xx的高铁有票吗？,0
去xx的火车硬座有票吗？,0
去xx的火车硬卧有票吗？,0
去xx的火车软卧有票吗？,0
去xx的高铁二等座有票吗？,0
去xx的高铁一等座有票吗？,0
去xx的高铁商务座有票吗？,0
有去xx的直达列车吗？,0
去xx需要换几次车？,0
火车票多少钱？,0
高铁票多少钱？,0
今天从xx到xx的车最早几点出发？,0
我要买一张从xx到xx的票。,0
现在还有从xx到xx的车吗？,0
这个票是高铁票还是火车票？,0
小孩能免票吗？,0
xx到xx的车发车了吗？,0
我想买张票。,0
买一张xx到xx最便宜的票。,0
还有没有靠窗的座位？,0
有没有三连座能买？,0
能预订下个月的票吗？,0
给我来一张最贵的票。,0
我需要一张卧铺票。,0
有没有站票？,0
请问能不能退票？,0
我买错时间了，请问能不能换一下？,0
学生买票有优惠吗？,0
从xx到xx有几班车？,0
晚点了能退钱不？,0
从xx到xx要多少钱？,0
还有从xx到xx的票吗？,0
从xx到xx有哪些时段的票？,0
明天有从xx到xx的票吗？,0
后天有从xx到xx的票吗？,0
大后天有从xx到xx的票吗？,0
周五有从xx到xx的票吗？,0
下周一有从xx到xxx的票吗？,0
1月20日有从xx到xx的票吗？,0
上午有从xx到xx的票吗？,0
